ComuneCercaOLD,Comune_residenza_old_MANUALE,appoggio,Comune_residenza,Frequenza sinistri 2021,Costo Medio Totale 2021,Veicoli Anno 2021,Frequenza sinistri 2020,Costo Medio totale 2020,Veicoli Anno 2020,Frequenza sinistri 2019,Costo Medio totale 2019,Veicoli Anno 2019,Frequenza sinistri 2018,Costo Medio totale 2018,Veicoli Anno 2018,Regione,Provincia,Zona
Osimo,,,Osimo,0.041134948,5161.864553,16871.29863,0.037541723,4988.469419,17420.61749,0.054227018,7562.637577,17961.52603,0.053052818,3373.242687,17397.75616,Marche,Ancona,Centro
Occhieppo Inferiore,,,Occhieppo Inferiore,0.052184863,2428.096154,1992.915068,0.040461235,2257.426829,2026.631148,0.060729203,2447.52,2058.317808,0.057535008,1972.054545,1911.879452,Piemonte,Biella,Nord-ovest
Ostra,,,Ostra,0.031500518,5335.314815,3428.515068,0.035985879,3552.64,3473.584699,0.044178755,6022.668831,3485.838356,0.043295412,4578.151515,3048.821918,Marche,Ancona,Centro
Campoli del Monte Taburno,,,Campoli del Monte Taburno,0.021614739,3071.9375,740.2356164,0.035273447,3108.192308,737.0983607,0.05120872,2862.897436,761.5890411,0.037766109,3812.607143,741.4054795,Campania,Benevento,Sud
Loro Piceno,,,Loro Piceno,0.034682484,2721.888889,1297.484932,0.026368597,2728.176471,1289.412568,0.05085583,4787.787879,1297.786301,0.038561049,4068.938776,1270.712329,Marche,Macerata,Centro
Ostra Vetere,,,Ostra Vetere,0.035246913,4546.466667,1702.276712,0.020951228,5426.285714,1670.546448,0.032875095,4791.277778,1642.580822,0.040397525,3133.931034,1435.731507,Marche,Ancona,Centro
Polverigi,,,Polverigi,0.039261799,9577.736842,2419.654795,0.030038996,2938.594595,2463.464481,0.048898816,11612.18852,2494.947945,0.04809692,3524.486957,2391.005479,Marche,Ancona,Centro
Ripe,Ripe,,Trecastelli,0.032641316,3381.170543,3952.046575,0.025018867,22223.53,3996.983607,0.051957754,22782.69767,2482.786301,0.054552351,5260.481132,1943.087671,,,
Rosora,,,Rosora,0.026707015,6630.714286,1048.413699,0.028639768,3425.633333,1047.494536,0.043052165,3927.23913,1068.471233,0.056330058,2882.058824,905.3780822,Marche,Ancona,Centro
Penna San Giovanni,,,Penna San Giovanni,0.035686517,3085.285714,588.4575342,0.023086281,100786.9286,606.420765,0.042797957,2121.777778,630.8712329,0.023439614,6805.928571,597.2794521,Marche,Macerata,Centro
Civitanova Marche,,,Civitanova Marche,0.04947164,4252.290183,18738.00822,0.044058228,6384.648837,19519.62295,0.06521594,3399.884285,19611.76986,0.062075307,3167.042373,17108.25205,Marche,Macerata,Centro
San Marcello,,,San Marcello,0.036789348,2382.025,1087.271233,0.027126583,11729.6,1105.92623,0.044875468,2323.8,1114.194521,0.042044771,3538.244444,1070.287671,Marche,Ancona,Centro
San Paolo di Jesi,,,San Paolo di Jesi,0.046130791,2239.190476,455.2273973,0.015474939,2801.714286,452.3442623,0.05537821,2533.08,451.4410959,0.065650106,3847.518519,411.2712329,Marche,Ancona,Centro
Sassoferrato,,,Sassoferrato,0.027818621,4241.575221,4062.027397,0.024749665,8367.227723,4080.863388,0.036389421,24447.44218,4039.635616,0.040912389,3993.97546,3984.123288,Marche,Ancona,Centro
Montecassiano,,,Montecassiano,0.027403088,20527.69444,3941.161644,0.036174171,8634.787234,3897.808743,0.046629268,5984.607735,3881.682192,0.053024933,3175.076433,2960.871233,Marche,Macerata,Centro
Serra San Quirico,,,Serra San Quirico,0.03659671,6477.166667,1475.542466,0.030861711,2476.866667,1458.117486,0.042524325,5239.725806,1457.989041,0.038159479,4285.1,1310.290411,Marche,Ancona,Centro
Apiro,,,Apiro,0.024986464,3636.515152,1320.715068,0.018510951,3550.36,1350.551913,0.03280001,14671.15909,1341.463014,0.031645501,3863.7,1264.00274,Marche,Macerata,Centro
Camerino,,,Camerino,0.025359424,2813.020408,3864.441096,0.024723151,3282.505155,3923.448087,0.046082696,7447.929348,3992.821918,0.044406509,4668.779874,3580.556164,Marche,Macerata,Centro
Petriolo,,,Petriolo,0.044306086,2906.375,1083.372603,0.033022805,4755.055556,1090.155738,0.037918715,1886.341463,1081.260274,0.034147345,3750.714286,1024.969863,Marche,Macerata,Centro
Castelraimondo,,,Castelraimondo,0.036228607,11438.42222,2484.224658,0.029594028,3480.026667,2534.295082,0.040672538,3091.47619,2581.594521,0.048032468,3830.787611,2352.575342,Marche,Macerata,Centro
Bicinicco,,,Bicinicco,0.030877334,3625.78125,1036.358904,0.022351501,2385.608696,1029.013661,0.03742519,2000.815789,1015.358904,0.019801839,2180.421053,959.5068493,Friuli-Venezia Giulia,Udine,Nord-est
